id,condition,mode,pressed_key,pressed_correct_key,reaction_time_sec,time_stamp
1,dark,1,space,True,0.528982400894165,2021-05-04 17:16:35.888180
1,dark,1,space,True,0.5270977020263672,2021-05-04 17:16:39.591890
1,dark,1,space,True,0.4455854892730713,2021-05-04 17:16:45.879998
1,dark,1,space,True,0.5021278858184814,2021-05-04 17:16:52.880525
1,dark,1,space,True,0.5951676368713379,2021-05-04 17:17:00.075799
1,dark,1,space,True,0.6519806385040283,2021-05-04 17:17:04.480343
1,dark,1,space,True,0.38227128982543945,2021-05-04 17:17:11.704510
1,dark,1,space,True,0.42786121368408203,2021-05-04 17:17:17.400381
1,dark,1,space,True,0.492084264755249,2021-05-04 17:17:20.464118
1,dark,1,space,True,0.5176854133605957,2021-05-04 17:17:23.944598
1,light,1,space,True,0.44185924530029297,2021-05-04 17:17:33.872291
1,light,1,space,True,0.5265977382659912,2021-05-04 17:17:39.960089
1,light,1,space,True,0.5477175712585449,2021-05-04 17:17:45.479935
1,light,1,space,True,0.44680047035217285,2021-05-04 17:17:51.767660
1,light,1,space,True,0.4654805660247803,2021-05-04 17:17:56.896262
1,light,1,space,True,0.5438277721405029,2021-05-04 17:18:03.976330
1,light,1,space,True,0.5771980285644531,2021-05-04 17:18:07.504120
1,light,1,space,True,0.4815640449523926,2021-05-04 17:18:13.913610
1,light,1,space,True,1.0013277530670166,2021-05-04 17:18:17.928240
1,light,1,space,True,0.8653016090393066,2021-05-04 17:18:22.792250
