,id,condition,mode,run,pressed_key,pressed_correct_key,reaction_time_in_sec,time_waited_in_sec,time_stamp
66,3,dark,1,7,space,True,0.5143225193023682,3,2021-05-05 20:35:20.745833
67,3,dark,1,8,space,True,0.4782931804656982,5,2021-05-05 20:35:26.633467
68,3,dark,1,9,space,True,0.6126754283905029,6,2021-05-05 20:35:33.769806
69,3,dark,1,10,space,True,0.5023157596588135,4,2021-05-05 20:35:38.657117
70,3,light,1,1,space,True,0.5775277614593506,1,2021-05-05 20:35:40.553499
71,3,light,1,2,space,True,0.3980908393859863,5,2021-05-05 20:35:46.553701
72,3,light,1,3,space,True,0.7124378681182861,2,2021-05-05 20:35:49.737796
73,3,light,1,4,space,True,0.5057532787322998,2,2021-05-05 20:35:52.657645
74,3,light,1,5,space,True,0.5436716079711914,6,2021-05-05 20:35:59.697723
75,3,light,1,6,space,True,0.38960623741149897,6,2021-05-05 20:36:06.545267
76,3,light,1,7,space,True,0.5253734588623047,2,2021-05-05 20:36:09.578621
77,3,light,1,8,space,True,0.3574521541595459,5,2021-05-05 20:36:16.441119
78,3,light,1,9,space,True,0.4654028415679932,5,2021-05-05 20:36:23.729339
79,3,light,1,10,space,True,0.3501300811767578,4,2021-05-05 20:36:29.505702
80,1,dark,1,1,space,True,0.4325876235961914,2,2021-05-05 20:20:09.137925
81,1,dark,1,2,space,True,0.3892672061920166,3,2021-05-05 20:20:14.042773
82,1,dark,1,3,space,True,0.4297225475311279,5,2021-05-05 20:20:20.585607
83,1,dark,1,4,space,True,0.3718721866607666,3,2021-05-05 20:20:24.976913
84,1,dark,1,5,space,True,0.3637511730194092,6,2021-05-05 20:20:32.521399
85,1,dark,1,6,space,True,0.5393612384796143,1,2021-05-05 20:20:34.609397
86,1,dark,1,7,space,True,0.4514577388763428,1,2021-05-05 20:20:36.833308
87,1,dark,1,8,space,True,0.4145317077636719,6,2021-05-05 20:20:43.569600
88,1,dark,1,9,space,True,0.5546629428863525,1,2021-05-05 20:20:45.946014
89,1,dark,1,10,space,True,0.4605648517608642,3,2021-05-05 20:20:50.114108
90,1,light,1,1,space,True,1.0999553203582764,1,2021-05-05 20:20:54.544860
91,1,light,1,2,space,True,0.4017786979675293,5,2021-05-05 20:21:01.785062
92,1,light,1,3,space,True,0.454373836517334,2,2021-05-05 20:21:05.033992
93,1,light,1,4,space,True,0.5656037330627441,4,2021-05-05 20:21:10.221539
94,1,light,1,5,space,True,0.35473108291625977,5,2021-05-05 20:21:17.345650
95,1,light,1,6,space,True,0.4591436386108398,3,2021-05-05 20:21:21.569977
96,1,light,1,7,space,True,0.36421751976013184,6,2021-05-05 20:21:28.522093
97,1,light,1,8,space,True,0.4259428977966309,4,2021-05-05 20:21:33.585787
